TradeDate,SecurityID,BigNetInflow
2022.01.12,688608,0.042043711660712
2022.01.12,688689,0.013240965198357
2022.01.12,688728,-0.059610639714191
2022.01.12,688766,0.082552424085032
2022.01.12,688798,-0.015300748570756
2022.01.13,002213,-0.005713693925624
2022.01.13,002449,0.018271519945
2022.01.13,003026,-0.032304322832404
2022.01.13,003043,0.01016399366121
2022.01.13,300123,0.001335861256007
2022.01.13,300236,-0.130450505076809
2022.01.13,300241,-0.015687845637949
2022.01.13,300301,0.00262495895041
2022.01.13,300303,-0.038114508964492
2022.01.13,300323,0.020198667831615
2022.01.13,300632,-0.020051011257369
2022.01.13,600667,-0.073463610692558
2022.01.13,603068,-0.039501661874656
2022.01.13,688018,-0.004561932380136
2022.01.13,688049,0.006335782125686
2022.01.13,688107,-0.043014532424161
2022.01.13,688135,-0.03071747287338
2022.01.13,688138,-0.0796669008463
2022.01.13,688206,0.040010639945482
2022.01.13,688216,-0.054842822806037
2022.01.13,688230,0.07643782024923
2022.01.13,688286,0.042290489241612
2022.01.13,688368,-0.028238910630762
2022.01.13,688538,0.010820005226337
2022.01.13,688589,-0.024085129571635
2022.01.13,688595,0.023308587389162
2022.01.13,688608,0.002056347668201
2022.01.13,688689,-0.018325781206069
2022.01.13,688728,-0.021186415562998
2022.01.13,688766,-0.005924337009129
2022.01.13,688798,0.006894489415071
2022.01.14,002213,-0.006436607131277
2022.01.14,002449,-0.001842441623698
2022.01.14,003026,0.001676536870047
2022.01.14,003043,0.014841413294419
2022.01.14,300123,-0.006812227086456
2022.01.14,300236,-0.100342959455944
2022.01.14,300241,-0.001280351970378
2022.01.14,300301,-0.038832256091997
2022.01.14,300303,0.020297244247352
2022.01.14,300323,-0.059598935288538
2022.01.14,300632,0.036545897588833
2022.01.14,600667,-0.01249134213936
2022.01.14,603068,-0.031190377672622
2022.01.14,688018,0.026076299160586
2022.01.14,688049,0.043920718653155
2022.01.14,688107,-0.008821951512244
2022.01.14,688135,0.029860234148096
2022.01.14,688138,0.048457657017698
2022.01.14,688206,-0.016107256964703
2022.01.14,688216,0.063833902866014
2022.01.14,688230,0.029313869365306
